Story;Output Case;P;M2;M3
Story08;Dead;-1775,4254;3470,531;20,7332
Story08;Dead;-3422,4021;-329,2626;-653,359
Story08;Live;-717,2295;1402,74;-0,6693
Story08;Live;-717,2295;-125,0447;-146,2439
Story08;SDL;-597,6912;1168,95;-0,5577
Story08;SDL;-597,6912;-104,2039;-121,8699
Story08;CL;-28,7878;-78,0754;-64,9825
Story08;CL;-28,7878;2,4242;-39,4647
Story08;WL_0;0,7717;4,9101;-142,301
Story08;WL_0;0,7717;37,6727;152,5922
Story08;WL_0;36,6775;-379,5998;30,5478
Story08;WL_0;36,6775;-364,1234;-331,6781
Story08;WL_90;0,7717;4,9101;-142,301
Story08;WL_90;0,7717;37,6727;152,5922
Story08;WL_90;36,6775;-379,5998;30,5478
Story08;WL_90;36,6775;-364,1234;-331,6781
Story08;UDConS1;-3242,571;6157,8975;-60,4895
Story08;UDConS1;-5465,9896;-581,9072;-1099,8365
Story08;UDConS2;-4318,4153;8262,0076;-61,4934
Story08;UDConS2;-6541,8338;-769,4743;-1319,2024
Story08;UDConS3;-4285,4055;8266,4267;-34,0004
Story08;UDConS3;-6508,824;-735,5688;-1181,8694
Story08;UDConS3;-4317,7207;7920,3678;-189,5643
Story08;UDConS3;-6541,1392;-1097,1854;-1617,7127
Story08;UDConS4;-4319,1098;8603,6474;66,5776
Story08;UDConS4;-6542,5283;-441,7632;-1020,6921
Story08;UDConS4;-4351,4251;8257,5885;-88,9864
Story08;UDConS4;-6574,8436;-803,3797;-1456,5353
Story08;UDConS5;-4285,4055;8266,4267;-34,0004
Story08;UDConS5;-6508,824;-735,5688;-1181,8694
Story08;UDConS5;-4317,7207;7920,3678;-189,5643
Story08;UDConS5;-6541,1392;-1097,1854;-1617,7127
Story08;UDConS6;-4319,1098;8603,6474;66,5776
Story08;UDConS6;-6542,5283;-441,7632;-1020,6921
Story08;UDConS6;-4351,4251;8257,5885;-88,9864
Story08;UDConS6;-6574,8436;-803,3797;-1456,5353
Story08;UDConS7;-3940,6457;7638,1397;-15,3705
Story08;UDConS7;-6164,0642;-656,695;-1024,5044
Story08;UDConS7;-3994,5044;7061,3749;-274,6438
Story08;UDConS7;-6217,9229;-1259,3893;-1750,9098
Story08;UDConS8;-3996,8196;8200,1743;152,2594
Story08;UDConS8;-6220,2381;-167,019;-755,8754
Story08;UDConS8;-4050,6783;7623,4095;-107,0139
Story08;UDConS8;-6274,0968;-769,7133;-1482,2808
Story08;UDConS9;-3940,6457;7638,1397;-15,3705
