;Curve #1;0 deg;;Curve #2;15 deg;;Curve #3;30 deg;;Curve #4;45 deg;;Curve #5;60 deg;;Curve #6;75 deg;;Curve #7;90 deg;;Curve #8;105 deg;;Curve #9;120 deg;;Curve #10;135 deg;;Curve #11;150 deg;;Curve #12;165 deg;;Curve #13;180 deg;;Curve #14;195 deg;;Curve #15;210 deg;;Curve #16;225 deg;;Curve #17;240 deg;;Curve #18;255 deg;;Curve #19;270 deg;;Curve #20;285 deg;;Curve #21;300 deg;;Curve #22;315 deg;;Curve #23;330 deg;;Curve #24;345 deg;
Point;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m;P  kN;M2  kN-m;M3  kN-m
1;207987,712;0;2,08E-05;207987,712;1,93E-06;1,79E-05;207987,712;3,59E-06;1,54E-05;207987,712;5,24E-06;1,30E-05;207987,712;7,12E-06;1,02E-05;207987,712;9,65E-06;6,41E-06;207987,712;1,40E-05;0;207987,712;9,65E-06;-6,41E-06;207987,712;7,12E-06;-1,02E-05;207987,712;5,24E-06;-1,30E-05;207987,712;3,59E-06;-1,54E-05;207987,712;1,93E-06;-1,79E-05;207987,712;0;-2,08E-05;207987,712;-1,93E-06;-1,79E-05;207987,712;-3,59E-06;-1,54E-05;207987,712;-5,24E-06;-1,30E-05;207987,712;-7,12E-06;-1,02E-05;207987,712;-9,65E-06;-6,41E-06;207987,712;-1,40E-05;0;207987,712;-9,65E-06;6,41E-06;207987,712;-7,12E-06;1,02E-05;207987,712;-5,24E-06;1,30E-05;207987,712;-3,59E-06;1,54E-05;207987,712;-1,93E-06;1,79E-05
2;161281,4429;0;106240,1127;182874,9071;15466,1806;57499,5429;190092,3113;15563,0329;40227,1165;192771,5895;16091,3188;32902,8772;193540,9813;18078,9705;28159,3293;190928,9029;23091,5715;25348,7574;154516,2834;72400,0568;0;190928,9029;23091,5715;-25348,7574;193540,9813;18078,9705;-28159,3293;192771,5895;16091,3188;-32902,8772;190092,3113;15563,0329;-40227,1165;182874,9071;15466,1806;-57499,5429;161281,4429;0;-106240,1127;182874,9071;-15466,1806;-57499,5429;190092,3113;-15563,0329;-40227,1165;192771,5895;-16091,3188;-32902,8772;193540,9813;-18078,9705;-28159,3293;190928,9029;-23091,5715;-25348,7574;154516,2834;-72400,0568;0;190928,9029;-23091,5715;25348,7574;193540,9813;-18078,9705;28159,3293;192771,5895;-16091,3188;32902,8772;190092,3113;-15563,0329;40227,1165;182874,9071;-15466,1806;57499,5429
3;147655,192;0;131103,3593;155060,8073;13186,0361;116531,7883;167427,4009;28521,0643;86720,5627;172964,1911;34060,6532;70800,4953;173786,6957;39773,2511;61581,8334;166132,0037;53342,7103;53920,1572;131625,874;98442,3047;0;166132,0037;53342,7103;-53920,1572;173786,6957;39773,2511;-61581,8334;172964,1911;34060,6532;-70800,4953;167427,4009;28521,0643;-86720,5627;155060,8073;13186,0361;-116531,7883;147655,192;0;-131103,3593;155060,8073;-13186,0361;-116531,7883;167427,4009;-28521,0643;-86720,5627;172964,1911;-34060,6532;-70800,4953;173786,6957;-39773,2511;-61581,8334;166132,0037;-53342,7103;-53920,1572;131625,874;-98442,3047;0;166132,0037;-53342,7103;53920,1572;173786,6957;-39773,2511;61581,8334;172964,1911;-34060,6532;70800,4953;167427,4009;-28521,0643;86720,5627;155060,8073;-13186,0361;116531,7883
4;132048,4184;0;153471,9744;137877,8708;13814,5484;143401,8764;143816,8111;28932,5364;128439,966;150969,8505;45774,8224;104493,4219;151590,5122;59256,6303;85580,6206;138819,3991;84052,4833;55200,2759;120268,2738;108919,6338;0;138819,3991;84052,4833;-55200,2759;151590,5122;59256,6303;-85580,6206;150969,8505;45774,8224;-104493,4219;143816,8111;28932,5364;-128439,966;137877,8708;13814,5484;-143401,8764;132048,4184;0;-153471,9744;137877,8708;-13814,5484;-143401,8764;143816,8111;-28932,5364;-128439,966;150969,8505;-45774,8224;-104493,4219;151590,5122;-59256,6303;-85580,6206;138819,3991;-84052,4833;-55200,2759;120268,2738;-108919,6338;0;138819,3991;-84052,4833;55200,2759;151590,5122;-59256,6303;85580,6206;150969,8505;-45774,8224;104493,4219;143816,8111;-28932,5364;128439,966;137877,8708;-13814,5484;143401,8764
5;114810,5256;0;172813,7411;119040,2155;14589,2699;165280,721;122989,4259;30538,5215;153875,6295;127367,5395;51275,6244;132736,5566;127663,0127;75850,3847;99605,0393;116079,8867;105577,7255;46136,8787;107297,8742;119063,1168;0;116079,8867;105577,7255;-46136,8787;127663,0127;75850,3847;-99605,0393;127367,5395;51275,6244;-132736,5566;122989,4259;30538,5215;-153875,6295;119040,2155;14589,2699;-165280,721;114810,5256;0;-172813,7411;119040,2155;-14589,2699;-165280,721;122989,4259;-30538,5215;-153875,6295;127367,5395;-51275,6244;-132736,5566;127663,0127;-75850,3847;-99605,0393;116079,8867;-105577,7255;-46136,8787;107297,8742;-119063,1168;0;116079,8867;-105577,7255;46136,8787;127663,0127;-75850,3847;99605,0393;127367,5395;-51275,6244;132736,5566;122989,4259;-30538,5215;153875,6295;119040,2155;-14589,2699;165280,721
6;95154,6938;0;190260,9504;97819,4431;15692,4609;183077,2989;99808,8482;32691,5139;172368,1054;101138,3327;55027,5213;152023,1427;101256,6319;89947,8786;104154,5625;98287,6674;115836,6577;50071,883;91879,5588;129712,707;0;98287,6674;115836,6577;-50071,883;101256,6319;89947,8786;-104154,5625;101138,3327;55027,5213;-152023,1427;99808,8482;32691,5139;-172368,1054;97819,4431;15692,4609;-183077,2989;95154,6938;0;-190260,9504;97819,4431;-15692,4609;-183077,2989;99808,8482;-32691,5139;-172368,1054;101138,3327;-55027,5213;-152023,1427;101256,6319;-89947,8786;-104154,5625;98287,6674;-115836,6577;-50071,883;91879,5588;-129712,707;0;98287,6674;-115836,6577;50071,883;101256,6319;-89947,8786;104154,5625;101138,3327;-55027,5213;152023,1427;99808,8482;-32691,5139;172368,1054;97819,4431;-15692,4609;183077,2989
7;76040,967;0;193994,8204;74517,7862;15160,0404;190222,7071;73009,0125;33176,9127;179529,1862;70591,6557;57723,583;155401,8678;70250,4248;88965,3631;113110,4137;77394,8987;121181,4036;51465,65;79139,2628;132416,9009;0;77394,8987;121181,4036;-51465,65;70250,4248;88965,3631;-113110,4137;70591,6557;57723,583;-155401,8678;73009,0125;33176,9127;-179529,1862;74517,7862;15160,0404;-190222,7071;76040,967;0;-193994,8204;74517,7862;-15160,0404;-190222,7071;73009,0125;-33176,9127;-179529,1862;70591,6557;-57723,583;-155401,8678;70250,4248;-88965,3631;-113110,4137;77394,8987;-121181,4036;-51465,65;79139,2628;-132416,9009;0;77394,8987;-121181,4036;51465,65;70250,4248;-88965,3631;113110,4137;70591,6557;-57723,583;155401,8678;73009,0125;-33176,9127;179529,1862;74517,7862;-15160,0404;190222,7071
8;57466,8769;0;185576,6401;53002,5644;15165,0325;178835,2715;47166,9948;33405,5636;163615,3223;39759,4469;55580,4069;136045,8672;38880,0617;76448,9608;106783,7529;53767,3092;109252,1101;58809,1933;68104,0281;129306,4115;0;53767,3092;109252,1101;-58809,1933;38880,0617;76448,9608;-106783,7529;39759,4469;55580,4069;-136045,8672;47166,9948;33405,5636;-163615,3223;53002,5644;15165,0325;-178835,2715;57466,8769;0;-185576,6401;53002,5644;-15165,0325;-178835,2715;47166,9948;-33405,5636;-163615,3223;39759,4469;-55580,4069;-136045,8672;38880,0617;-76448,9608;-106783,7529;53767,3092;-109252,1101;-58809,1933;68104,0281;-129306,4115;0;53767,3092;-109252,1101;58809,1933;38880,0617;-76448,9608;106783,7529;39759,4469;-55580,4069;136045,8672;47166,9948;-33405,5636;163615,3223;53002,5644;-15165,0325;178835,2715
9;38926,2732;0;166339,9733;30932,051;15747,3133;151630,0004;17206,9571;35760,8059;118518,2618;8997,897;45968,0069;95102,426;7997,5298;53665,9074;82924,6753;18855,4513;72597,4258;69324,887;57067,5025;122353,303;0;18855,4513;72597,4258;-69324,887;7997,5298;53665,9074;-82924,6753;8997,897;45968,0069;-95102,426;17206,9571;35760,8059;-118518,2618;30932,051;15747,3133;-151630,0004;38926,2732;0;-166339,9733;30932,051;-15747,3133;-151630,0004;17206,9571;-35760,8059;-118518,2618;8997,897;-45968,0069;-95102,426;7997,5298;-53665,9074;-82924,6753;18855,4513;-72597,4258;-69324,887;57067,5025;-122353,303;0;18855,4513;-72597,4258;69324,887;7997,5298;-53665,9074;82924,6753;8997,897;-45968,0069;95102,426;17206,9571;-35760,8059;118518,2618;30932,051;-15747,3133;151630,0004
